x,y,z,time,fragment_id
-1.6544,10.1599,1.8611,1604541317576,162
-1.5542,9.9995,1.8983,1604541317595,162
-1.1538,9.6159,1.632,1604541317915,162
-0.9024,9.6691,1.7129,1604541317935,162
-0.7212,9.4471,1.1017,1604541318175,162
-0.9691,9.665,1.9128,1604541318195,162
-0.9629,9.6149,2.5985,1604541318215,162
-0.0645,8.8892,2.1033,1604541318235,162
0.8008,4.6847,8.4118,1604629021310,163
0.5906,4.7806,8.5819,1604629021330,163
0.8081,4.6686,8.5072,1604629021350,163
-1.3863,4.9522,8.1451,1604629021690,163
-1.3131,5.1764,8.6129,1604629021711,163
-1.1157,5.4126,8.49,1604629021730,163
-0.8842,5.1738,8.3837,1604629021750,163
-0.1847,4.272,8.714,1604629022151,163
-0.2983,4.0228,8.8311,1604629022170,163
-0.166,4.0428,9.022,1604629022190,163
-0.8282,3.9507,8.3264,1604629022330,163
-0.6479,3.8245,8.9472,1604629022351,163
-0.8545,4.2407,9.3485,1604629022370,163
-0.8925,4.2921,9.7468,1604629022390,163
-0.7653,4.0628,8.8715,1604629022611,163
-0.5618,3.8553,9.2017,1604629022630,163
-0.555,3.8049,9.4455,1604629022650,163
-0.6806,3.9703,9.3653,1604629022970,163
-0.4108,4.2254,9.1817,1604629022990,163
-0.8044,4.303,9.3209,1604629023011,163
-1.308,4.3438,9.1729,1604629023211,163
-1.0565,4.5858,9.3787,1604629023231,163
-0.958,4.236,9.5993,1604629023250,163
-0.1442,3.5824,8.8096,1604629023490,163
-0.254,3.8285,9.1703,1604629023511,163
-0.4145,3.8166,9.9681,1604629023530,163
0.3073,3.3973,9.1719,1604629023730,163
0.1567,3.449,9.4729,1604629023750,163
0.4637,3.0014,9.6829,1604629023771,163
0.3626,5.6284,8.1628,1604480479398,164
0.3662,5.5807,8.2557,1604480479417,164
0.6238,5.4373,8.3219,1604480479438,164
-0.5164,6.0179,7.0299,1604480479718,164
-0.6331,5.7529,8.2312,1604480479738,164
-0.7909,6.1201,8.4206,1604480479757,164
-0.3012,5.3287,8.4272,1604480480117,164
-0.598,5.4209,8.7924,1604480480138,164
-0.1749,5.0637,8.5896,1604480480157,164
-0.4811,5.0864,8.2077,1604480480358,164
-0.3339,5.157,8.7446,1604480480378,164
-0.3847,5.1489,8.9473,1604480480398,164
-0.4131,5.1545,9.102,1604480480417,164
-0.2556,5.1479,8.406,1604480480638,164
-0.3392,5.0604,8.5105,1604480480658,164
-0.1276,4.9872,8.5518,1604480480678,164
-0.6635,5.3189,8.5535,1604480480958,164
-0.3043,5.2974,8.327,1604480480978,164
-0.3032,5.3741,8.6004,1604480480997,164
-1.1187,5.6679,7.6324,1604480481157,164
-0.659,5.8464,8.3541,1604480481178,164
-0.7628,5.4736,8.72,1604480481198,164
-0.0044,4.7298,8.7424,1604480481438,164
0.2426,4.7139,9.2079,1604480481457,164
0.4046,4.4472,8.6229,1604480481638,164
0.3837,4.4985,9.1205,1604480481658,164
0.5018,4.4786,9.1605,1604480481678,164
0.7178,4.1907,8.8775,1604480481698,164
